MS-0.25m,Normalized CAT-RMS,MS-0.75m,Normalized CAT-RMS
x1,y1,x2,y2
27.60108,0,36.79816,0.00172
27.49959,0,36.89998,0.00172
27.60108,0,37.00208,0.00172
27.60108,0,36.89998,0.00172
27.60108,0,36.89998,0.00172
27.60108,0,36.89998,0.00172
27.60108,0,36.89998,0.00172
27.60108,0,36.89998,0.00173
27.60108,0,36.89998,0.00173
27.60108,0,37.00208,0.00173
27.49959,0,36.89998,0.00173
27.49959,0,37.00208,0.00173
27.60108,0,36.79816,0.00174
27.60108,0,36.89998,0.00177
27.49959,0,36.89998,0.00179
27.60108,0,36.89998,0.00182
27.49959,0,36.89998,0.00183
27.60108,0,36.89998,0.00185
27.60108,0,36.79816,0.00185
27.60108,0,37.00208,0.00185
27.49959,0,36.89998,0.00185
27.49959,0,36.89998,0.00185
27.49959,0,36.89998,0.00185
27.60108,0,37.00208,0.00185
27.49959,0,36.79816,0.00185
27.60108,0,36.79816,0.00185
27.60108,0,36.89998,0.00185
27.49959,0,36.89998,0.00185
27.60108,0,36.89998,0.00185
27.60108,0,36.89998,0.00185
27.60108,0,36.89998,0.00185
27.60108,0,36.79816,0.00185
27.49959,0,36.89998,0.00189
27.49959,0,36.89998,0.00191
27.49959,0,36.89998,0.00191
27.49959,0,37.00208,0.00198
27.60108,0,36.79816,0.00198
27.60108,0,36.89998,0.00198
27.49959,0,37.00208,0.00198
27.60108,0,36.89998,0.00198
27.60108,0,37.00208,0.00203
27.60108,0,37.00208,0.00204
27.49959,0,36.89998,0.00207
27.60108,0,37.00208,0.00207
27.60108,0,36.89998,0.00214
27.70296,0,37.00208,0.00222
27.60108,0,36.89998,0.00232
27.49959,0,36.89998,0.00237
27.49959,0,37.00208,0.00237
27.60108,0,37.09592,0.00239
27.60108,0,36.89998,0.00239
27.60108,0,36.89998,0.00242
27.49959,0,36.89998,0.00242
27.60108,0,36.89998,0.00242
27.60108,0,36.89998,0.00242
27.60108,0,36.89998,0.00242
27.60108,0,36.89998,0.00242
27.60108,0,36.89998,0.00242
27.60108,0,36.89998,0.00243
27.60108,0,36.89998,0.00246
27.60108,0,36.89998,0.00254
27.60108,0,37.00208,0.00258
27.49959,0,36.89998,0.00263
27.49959,0,36.89998,0.00263
27.60108,0,37.00208,0.00264
27.49959,0,36.79816,0.00265
27.60108,0,36.89998,0.00267
27.60108,0,37.00208,0.00271
27.60108,0,36.89998,0.00271
27.60108,0,36.89998,0.00271
27.60108,0,36.89998,0.00271
27.60108,0,36.89998,0.00271
27.49959,0,36.89998,0.00271
27.49959,0,37.00208,0.00271
27.49959,0,36.79816,0.00271
27.49959,0,37.00208,0.00271
27.60108,0,36.89998,0.00271
27.49959,0,36.89998,0.00271
27.49959,0,36.89998,0.00271
27.60108,0,36.79816,0.00271
27.49959,0,37.00208,0.00271
27.49959,0,36.89998,0.00271
27.49959,0,36.89998,0.00272
27.60108,0,36.89998,0.00272
27.49959,0,37.00208,0.00272
27.60108,0,36.89998,0.00272
27.49959,0,37.00208,0.00272
27.60108,0,37.00208,0.00272
27.49959,0,36.89998,0.00272
27.60108,0,36.89998,0.00272
27.49959,0,36.89998,0.00272
27.60108,0,37.00208,0.00272
27.49959,0,36.89998,0.00272
27.49959,0,36.89998,0.00272
27.49959,0,36.89998,0.00272
27.49959,0,36.89998,0.00272
27.60108,0,36.89998,0.00272
27.49959,0,37.00208,0.00272
27.60108,0,36.89998,0.00272
27.49959,0,37.00208,0.00272
27.60108,0,37.00208,0.00272
27.60108,0,37.00208,0.00272
27.49959,0,36.79816,0.00272
27.49959,0,36.89998,0.00272
27.60108,0,37.00208,0.00272
27.49959,0,37.00208,0.00272
